"SA Restricted Word: ID","SA Restricted Word: SA Restricted Word Name","Word","RegexValue","ReplacementRegexValue","Designation Type","Substitution","Description","SampleEntry","isActive","Override Substitution"
"a0BHy00000A9Rq7","RW-0053","faggotcock|fatass|fcuk|fu| FUBar|fuk|Fukah|Fuken|fuker|Fukin","\b(?i)(faggotcock|fatass|fcuk|fu| FUBar|fuk|Fukah|Fuken|fuker|Fukin)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq8","RW-0054","Fukk|Fukkah dumbshit|assmonkey|fuckstick|shitdick|dumbfuck","\b(?i)(Fukk|Fukkah dumbshit|assmonkey|fuckstick|shitdick|dumbfuck)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rq9","RW-0055","cum|poon|nigger|slut|poonany|sand nigger|sandnigger|nigga|Poonani","\b(?i)(cum|poon|nigger|slut|poonany|sand nigger|sandnigger|nigga|Poonani)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqA","RW-0056","sluts|niggas|poontang|titt|titty|FINRA|Churn","\b(?i)(sluts|niggas|poontang|titt|titty|FINRA|Churn)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqB","RW-0057","abuse|addiction|adhd|Advisor|Advisory|aids|Alien|allah|allergic|alzheimer","\b(?i)(abuse|addiction|adhd|Advisor|Advisory|aids|Alien|allah|allergic|alzheimer)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqC","RW-0058","alzheimers|Alzheimer's|anaphylaxis|angina|Annuity|anorexia|anxiety|Bad credit|bampot|Bankruptcy","\b(?i)(alzheimers|Alzheimer's|anaphylaxis|angina|Annuity|anorexia|anxiety|Bad credit|bampot|Bankruptcy)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqD","RW-0059","beaner|Behavioral problem|Behind in payments|Behind on payments|Bisexual|blood|boffing|boiolas|bollocks|bollox","\b(?i)(beaner|Behavioral problem|Behind in payments|Behind on payments|Bisexual|blood|boffing|boiolas|bollocks|bollox)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqE","RW-0060","boobs|Bounced checks|Broker|buceta|BUKAKE|bulimia|camel toe|cameljockey|camel-jockey|Cameltoe","\b(?i)(boobs|Bounced checks|Broker|buceta|BUKAKE|bulimia|camel toe|cameljockey|camel-jockey|Cameltoe)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqF","RW-0061","cancer carpetmuncher|cawk|cawks|chinc|chink|choad|chode|cipa|Clinic","\b(?i)(cancer carpetmuncher|cawk|cawks|chinc|chink|choad|chode|cipa|Clinic)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqG","RW-0062","Commission congenital|coon|cooter|copd|cracker|Crazy|Credit score|Crippled|crohns","\b(?i)(Commission congenital|coon|cooter|copd|cracker|Crazy|Credit score|Crippled|crohns)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqH","RW-0063","Crohn's cunnilingus|dago|Debts|Deepthroat|deggo|Delinquent|dementia|depression|DFK","\b(?i)(Crohn's cunnilingus|dago|Debts|Deepthroat|deggo|Delinquent|dementia|depression|DFK)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqI","RW-0064","diabetes|Diagnosis|dike|dillhole|dirsa|Disability|Disabled|Dividend|Divorced|Doesn?t earn enough","\b(?i)(diabetes|Diagnosis|dike|dillhole|dirsa|Disability|Disabled|Dividend|Divorced|Doesn?t earn enough)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqJ","RW-0065","Domestic partners|dominatricks|dominatrics|dominatrix|Don?t apply|doochebag|dookie|douchebag|Douchebaggery|douche-fag","\b(?i)(Domestic partners|dominatricks|dominatrics|dominatrix|Don?t apply|doochebag|dookie|douchebag|Douchebaggery|douche-fag)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqK","RW-0066","douchewaffle|douchey|douchie|Douchiness|drugs|Dying|dyke|ejakulate|Elderly|Embezzle","\b(?i)(douchewaffle|douchey|douchie|Douchiness|drugs|Dying|dyke|ejakulate|Elderly|Embezzle)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqL","RW-0067","enema|Envision|Equities|Estranged|ETF|ETP|fag1t| fagbag|faget|fagg1t","\b(?i)(enema|Envision|Equities|Estranged|ETF|ETP|fag1t| fagbag|faget|fagg1t)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqM","RW-0068","faggit|fagit|fags|fagtard|fagz|faig|faigs|fart|fellatio|feltch","\b(?i)(faggit|fagit|fags|fagtard|fagz|faig|faigs|fart|fellatio|feltch)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqN","RW-0069","Fico score|Financial advisor|flamer|flu|fool|Foreigner|Freakin?|Freaking|Fudge Packer|fudgepacker","\b(?i)(Fico score|Financial advisor|flamer|flu|fool|Foreigner|Freakin?|Freaking|Fudge Packer|fudgepacker)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqQ","RW-0072","hore|hospital|Hump|humping|hysterectomy|ID10T|idiot|Imbecile|In arrears|Inferior credit","\b(?i)(hore|hospital|Hump|humping|hysterectomy|ID10T|idiot|Imbecile|In arrears|Inferior credit)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqR","RW-0073","Insufficient collateral|Insufficient income|Insurance|Intuitive investor|Investment|jack off|jackoff|jap|japs|jerk off","\b(?i)(Insufficient collateral|Insufficient income|Insurance|Intuitive investor|Investment|jack off|jackoff|jap|japs|jerk off)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqS","RW-0074","jerkoff|jerk-off|Jesus freak|Jew:Jew bag:jigaboo:jisim|jism|jiss|jizm","\b(?i)(jerkoff|jerk-off|Jesus freak|Jew:Jew bag:jigaboo:jisim|jism|jiss|jizm)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqT","RW-0075","jizz|jizzle|jungle bunny|junglebunny|kidney|kike|Kiting|knob|knobs|knobz","\b(?i)(jizz|jizzle|jungle bunny|junglebunny|kidney|kike|Kiting|knob|knobs|knobz)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqU","RW-0076","kooch|kootch|kraut|kyke|Lame|Legal issues|Lesbian|lesbo|Lezzian|lezzie","\b(?i)(kooch|kootch|kraut|kyke|Lame|Legal issues|Lesbian|lesbo|Lezzian|lezzie)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqV","RW-0077","LGBT|LGBTQ|Lost job|Low income|lupus|Marginal credit|Market|massterbait|masstrbait|masstrbate","\b(?i)(LGBT|LGBTQ|Lost job|Low income|lupus|Marginal credit|Market|massterbait|masstrbait|masstrbate)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqW","RW-0078","masterbaiter|masterbat3|masterbate masterbates|masturbate|mcfagget|meatcurtains|Medical condition|Medical treatment|Memory loss","\b(?i)(masterbaiter|masterbat3|masterbate masterbates|masturbate|mcfagget|meatcurtains|Medical condition|Medical treatment|Memory loss)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqX","RW-0079","Mental health|Merge|minge|Misappro|Misappropriate*|miscarriage|Misrepor| Misreport*|Misrepre| Misrepresent*","\b(?i)(Mental health|Merge|minge|Misappro|Misappropriate*|miscarriage|Misrepor| Misreport*|Misrepre| Misrepresent*)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqO","RW-0070","g00k|gangbanger|Gay|gaybob|gayboy gaydo|gaygirl|gays|gaytard|gaywad","\b(?i)(g00k|gangbanger|Gay|gaybob|gayboy gaydo|gaygirl|gays|gaytard|gaywad)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqP","RW-0071","gayz Gimp god|gooch|gook|gringo|guido|h0Or|hOar|hOre","\b(?i)(gayz Gimp god|gooch|gook|gringo|guido|h0Or|hOar|hOre)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RqY","RW-0080","Missed payments|Moron|motha|muff|muffdiver|muncher|munging|Mutual Fund|n1gr|Nappy","\b(?i)(Missed payments|Moron|motha|muff|muffdiver|muncher|munging|Mutual Fund|n1gr|Nappy)\b","","Foul Language","****","","","1","0"
